Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01010554",396,12,256,104,7,4,1,12
"S01010555",450,21,294,111,6,1,3,14
"S01010556",410,7,340,42,9,2,1,9
"S01010557",278,3,245,15,7,2,1,5
"S01010558",385,3,345,16,5,4,1,11
"S01010559",351,4,266,60,12,-,3,6
"S01010560",291,2,245,24,10,1,1,8
"S01010561",301,5,248,17,14,2,2,13
"S01010562",314,2,267,33,4,-,1,7
"S01010563",211,5,159,35,7,1,-,4
"S01010564",269,4,152,95,6,7,-,5
"S01010565",276,2,206,38,12,4,-,14
"S01010566",453,16,31,58,268,22,15,43
"S01010567",379,10,44,42,231,12,9,31
"S01010568",391,11,38,122,167,24,9,20
"S01010569",295,11,36,29,170,14,9,26
"S01010570",467,19,33,205,126,56,4,24
"S01010571",398,22,257,96,8,4,2,9
"S01010572",336,11,132,174,4,1,4,10
"S01010573",222,10,114,84,6,2,3,3
"S01010574",236,1,218,8,4,1,-,4
"S01010575",284,5,238,18,14,3,1,5
"S01010576",326,1,239,37,37,3,-,9
"S01010577",354,7,199,134,5,3,-,6
"S01010578",203,1,161,24,7,1,2,7
"S01010579",325,7,225,71,10,-,1,11
"S01010580",305,16,99,176,6,2,-,6
"S01010581",243,19,123,90,4,1,1,5
"S01010582",185,1,126,15,32,4,3,4
"S01010583",440,3,345,76,10,1,-,5
"S01010584",312,1,264,10,18,1,2,16
"S01010585",304,1,260,22,11,-,-,10
"S01010586",305,3,231,49,14,2,2,4
"S01010587",293,4,218,43,14,3,-,11
"S01010588",268,1,216,23,19,3,1,5
"S01010589",299,10,127,145,4,3,3,7
"S01010590",293,1,271,2,12,2,-,5
"S01010591",303,2,262,6,7,10,1,15
"S01010592",273,2,138,129,3,1,-,-
"S01010593",259,2,205,11,26,3,5,7
"S01010594",281,-,251,11,5,1,-,13
"S01010595",310,1,268,16,14,1,1,9
"S01010596",310,4,129,17,125,7,8,20
"S01010597",274,3,218,30,10,-,4,9
"S01010598",404,-,371,15,6,2,1,9
"S01010599",248,1,178,30,28,2,2,7
"S01010600",427,4,323,62,12,10,4,12
"S01010601",302,1,250,34,9,1,2,5
"S01010602",260,9,182,62,4,-,1,2
"S01010603",369,2,312,44,3,1,-,7
"S01010604",193,2,166,7,7,-,2,9
"S01010605",387,3,333,22,11,2,1,15
"S01010606",371,10,256,91,1,4,-,9
"S01010607",346,6,287,38,5,1,1,8
"S01010608",306,5,186,99,2,-,-,14
"S01010609",242,7,101,115,3,2,2,12
"S01010610",318,3,248,35,19,4,-,9
"S01010611",496,23,257,198,3,1,3,11
"S01010612",316,5,289,10,2,-,4,6
"S01010613",341,5,291,31,6,-,1,7
"S01010614",264,6,64,168,3,-,12,11
"S01010615",383,-,247,124,2,1,2,7
"S01010616",359,10,307,26,4,1,1,10
"S01010617",360,5,322,18,2,4,-,9
"S01010618",307,8,283,8,2,1,-,5
"S01010619",318,22,154,111,4,1,3,23
"S01010620",369,18,116,212,9,2,7,5
"S01010621",432,8,254,145,8,2,-,15
"S01010622",333,13,66,209,24,9,2,10
"S01010623",278,6,228,20,1,1,-,22
"S01010624",244,10,68,130,25,-,3,8
"S01010625",333,4,276,42,4,-,-,7
"S01010626",368,7,294,48,7,1,-,11
"S01010627",401,14,280,82,3,2,2,18
"S01010628",472,22,330,99,5,2,1,13
"S01010629",445,11,340,57,10,5,2,20
"S01010630",252,2,197,32,3,1,1,16
"S01010631",326,11,207,96,-,4,-,8
"S01010632",486,10,395,56,3,4,1,17
"S01010633",476,8,367,83,2,1,1,14
"S01010634",264,7,178,59,2,8,-,10
"S01010635",351,5,297,25,-,5,2,17
"S01010636",386,5,328,32,5,2,-,14
"S01010637",352,23,210,106,2,2,1,8
"S01010638",417,9,274,115,4,6,1,8
"S01010639",555,25,379,123,2,2,2,22
"S01010640",411,29,228,139,3,2,2,8
"S01010641",531,15,350,130,3,3,5,25
"S01010642",451,13,238,170,2,2,10,16
"S01010643",287,2,243,17,2,4,4,15
"S01010644",346,8,189,126,4,-,-,19
"S01010645",278,16,179,74,3,3,1,2
"S01010646",287,6,240,31,5,-,2,3
"S01010647",306,7,240,48,3,1,1,6
"S01010648",306,9,232,54,5,1,1,4
"S01010649",280,11,175,83,3,1,1,6
"S01010650",196,6,85,52,38,2,2,11
"S01010651",295,2,263,12,4,4,3,7
"S01010652",309,6,235,49,4,5,2,8
"S01010653",300,18,239,34,3,1,1,4
"S01010654",348,2,270,58,5,-,2,11
"S01010655",380,19,24,72,184,30,12,39
"S01010656",182,5,9,53,77,7,8,23
"S01010657",248,3,13,24,163,11,13,21
"S01010658",296,9,58,32,157,8,7,25
"S01010659",276,17,22,32,171,15,3,16
"S01010660",285,3,29,84,120,27,2,20
"S01010661",307,6,18,169,78,8,2,26
"S01010662",310,5,46,63,163,7,9,17
"S01010663",381,12,23,47,219,16,22,42
"S01010664",337,9,39,57,141,23,10,58
"S01010665",430,26,38,60,218,34,17,37
"S01010666",416,18,23,170,154,12,7,32
"S01010667",288,19,22,51,148,22,9,17
"S01010668",503,24,33,131,230,37,5,43
"S01010669",266,18,9,54,122,21,3,39
"S01010670",296,15,14,73,132,26,7,29
"S01010671",329,26,12,96,118,35,8,34
"S01010672",321,5,12,137,94,45,9,19
"S01010673",419,44,44,155,110,26,7,33
"S01010674",419,34,33,144,131,35,9,33
"S01010675",273,16,23,53,106,27,8,40
"S01010676",392,29,34,104,125,55,12,33
"S01010677",224,16,19,41,90,26,7,25
"S01010678",273,24,14,55,117,22,8,33
"S01010679",282,7,16,96,90,39,6,28
"S01010680",315,7,11,133,86,52,7,19
"S01010681",461,13,27,168,99,61,69,24
"S01010682",398,16,35,73,188,28,7,51
"S01010683",423,28,26,97,168,48,16,40
"S01010684",361,28,39,90,123,25,12,44
"S01010685",294,35,19,68,89,46,7,30
"S01010686",309,26,17,74,118,27,9,38
"S01010687",379,16,20,101,161,36,13,32
"S01010688",335,35,15,75,109,49,9,43
"S01010689",378,14,16,104,163,28,3,50
"S01010690",330,17,14,123,99,38,7,32
"S01010691",325,31,19,46,142,34,10,43
"S01010692",307,7,19,138,78,36,9,20
"S01010693",216,18,15,42,79,33,5,24
"S01010694",270,12,25,76,100,19,10,28
"S01010695",304,15,28,48,164,11,8,30
"S01010696",402,11,13,120,191,30,6,31
"S01010697",458,10,27,100,215,34,17,55
"S01010698",338,26,19,59,154,47,4,29
"S01010699",250,12,19,32,121,35,3,28
"S01010700",258,8,88,30,95,13,-,24
"S01010701",432,10,281,60,40,8,4,29
"S01010702",417,7,31,95,203,24,10,47
"S01010703",341,11,48,35,187,16,3,41
"S01010704",300,2,77,105,69,18,7,22
"S01010705",463,7,184,89,139,19,4,21
"S01010706",293,3,177,39,38,21,3,12
"S01010707",265,10,28,31,139,16,7,34
"S01010708",252,8,163,44,15,11,-,11
"S01010709",299,4,182,75,22,6,1,9
"S01010710",316,3,231,44,14,14,-,10
"S01010711",319,-,233,39,36,2,2,7
"S01010712",269,2,226,13,15,2,-,11
"S01010713",322,4,94,159,51,3,2,9
"S01010714",380,8,277,56,16,7,-,16
"S01010715",340,7,249,33,15,16,4,16
"S01010716",444,12,198,203,16,6,-,9
"S01010717",272,7,158,63,30,3,-,11
"S01010718",393,4,179,121,61,14,4,10
"S01010719",282,12,8,66,142,35,2,17
"S01010720",336,5,10,90,188,12,10,21
"S01010721",296,10,5,93,151,6,5,26
"S01010722",394,14,7,139,158,35,12,29
"S01010723",329,6,13,29,226,14,8,33
"S01010724",354,10,19,62,206,33,3,21
"S01010725",287,15,15,25,187,11,10,24
"S01010726",415,5,15,112,224,20,13,26
"S01010727",243,8,22,24,153,10,6,20
"S01010728",204,7,17,20,137,3,4,16
"S01010729",269,9,15,42,161,11,1,30
"S01010730",343,15,23,36,208,19,5,37
"S01010731",399,13,13,148,154,40,5,26
"S01010732",334,3,208,67,38,3,2,13
"S01010733",246,5,162,25,25,13,1,15
"S01010734",362,1,239,51,40,4,4,23
"S01010735",244,3,21,185,30,-,1,4
"S01010736",218,-,155,20,26,3,2,12
"S01010737",487,6,297,103,50,7,2,22
"S01010738",235,1,185,22,9,7,1,10
"S01010739",388,5,188,129,47,6,4,9
"S01010740",260,4,73,169,8,5,-,1
"S01010741",249,4,98,33,77,15,1,21
"S01010742",308,11,182,61,9,34,-,11
"S01010743",273,4,145,96,6,6,4,12
"S01010744",459,7,260,125,40,10,1,16
"S01010745",327,6,192,81,24,12,1,11
"S01010746",441,20,16,95,225,31,10,44
"S01010747",357,11,23,167,104,25,7,20
"S01010748",280,13,12,61,150,13,4,27
"S01010749",261,7,20,35,151,15,7,26
"S01010750",287,7,19,55,146,23,6,31
"S01010751",333,8,20,187,79,14,4,21
"S01010752",332,13,12,204,80,7,2,14
"S01010753",434,6,9,223,152,12,13,19
"S01010754",357,10,13,167,122,20,2,23
"S01010755",298,6,8,101,116,42,2,23
"S01010756",286,8,11,93,141,11,4,18
"S01010757",365,13,14,68,174,44,5,47
"S01010758",305,12,14,71,144,22,16,26
"S01010759",279,7,11,116,95,41,-,9
"S01010760",306,7,11,131,106,22,3,26
"S01010761",222,11,11,27,118,21,1,33
"S01010762",263,7,12,49,135,29,10,21
"S01010763",316,8,11,83,128,55,5,26
"S01010764",289,20,15,46,139,35,5,29
"S01010765",471,16,11,84,221,68,4,67
"S01010766",359,13,22,90,135,57,7,35
"S01010767",347,6,21,149,107,45,2,17
"S01010768",284,8,12,100,94,46,3,21
"S01010769",217,5,32,20,120,14,2,24
"S01010770",385,13,23,159,133,30,6,21
"S01010771",445,18,24,116,190,66,5,26
"S01010772",376,9,29,36,163,82,10,47
"S01010773",336,12,18,48,173,57,7,21
"S01010774",325,8,23,48,151,77,3,15
"S01010775",266,7,41,22,153,25,6,12
"S01010776",266,3,171,64,9,5,11,3
"S01010777",270,7,89,93,39,18,23,1
"S01010778",239,16,43,39,19,36,83,3
"S01010779",355,4,268,28,19,25,5,6
"S01010780",261,3,66,77,66,39,3,7
"S01010781",350,4,240,54,34,9,2,7
"S01010782",293,6,180,61,19,19,-,8
"S01010783",275,4,129,97,18,25,-,2
"S01010784",345,13,99,85,37,104,2,5
"S01010785",301,2,145,55,69,14,7,9
"S01010786",255,3,30,53,122,35,6,6
"S01010787",384,10,35,53,194,55,13,24
"S01010788",274,7,68,49,115,22,6,7
"S01010789",292,6,25,31,143,70,5,12
"S01010790",282,6,19,31,165,42,6,13
"S01010791",369,13,32,48,204,45,7,20
"S01010792",287,5,17,40,87,135,-,3
"S01010793",275,11,27,52,136,29,8,12
"S01010794",234,11,47,37,107,18,1,13
"S01010795",445,7,39,103,207,69,5,15
"S01010796",341,15,31,30,199,36,10,20
"S01010797",329,8,35,40,203,21,9,13
"S01010798",293,14,38,36,136,38,7,24
"S01010799",530,21,357,113,13,13,1,12
"S01010800",360,8,256,63,12,13,-,8
"S01010801",354,5,225,65,30,23,2,4
"S01010802",263,4,139,81,29,5,-,5
"S01010803",280,6,226,24,10,7,2,5
"S01010804",283,7,213,36,12,7,1,7
"S01010805",377,6,234,73,49,4,-,11
"S01010806",458,5,98,241,61,43,-,10
"S01010807",244,8,131,96,6,-,1,2
"S01010808",230,11,123,80,9,4,-,3
"S01010809",328,4,39,86,162,25,5,7
"S01010810",249,14,20,34,106,40,8,27
"S01010811",414,32,26,77,153,64,6,56
"S01010812",238,19,18,67,76,33,4,21
"S01010813",249,18,12,112,42,41,4,20
"S01010814",307,26,21,67,112,37,6,38
"S01010815",208,12,8,51,76,38,2,21
"S01010816",293,1,226,55,2,1,1,7
"S01010817",376,3,355,9,4,-,2,3
"S01010818",507,8,433,53,3,-,3,7
"S01010819",374,9,308,34,12,-,3,8
"S01010820",217,4,158,6,33,2,5,9
"S01010821",245,-,198,8,33,2,1,3
"S01010822",280,2,215,17,34,2,4,6
"S01010823",147,1,129,7,7,1,1,1
"S01010824",250,1,245,2,-,-,1,1
"S01010825",125,1,110,1,6,2,4,1
"S01010826",315,3,301,3,1,-,1,6
"S01010827",221,1,206,8,1,-,-,5
"S01010828",441,1,425,12,-,-,-,3
"S01010829",464,6,423,27,1,-,1,6
"S01010830",231,4,210,13,-,-,1,3
"S01010831",197,-,193,2,-,1,-,1
"S01010832",284,6,251,8,8,2,4,5
"S01010833",348,5,326,4,3,1,4,5
"S01010834",422,6,402,12,-,-,-,2
"S01010835",270,2,265,3,-,-,-,-
"S01010836",384,9,349,16,-,1,1,8
"S01010837",289,3,271,8,-,1,-,6
"S01010838",330,6,311,8,-,-,-,5
"S01010839",339,8,316,11,1,-,2,1
"S01010840",300,19,236,38,1,-,-,6
"S01010841",390,7,352,25,-,-,1,5
"S01010842",613,42,451,103,-,-,-,17
"S01010843",407,18,294,86,1,-,3,5
"S01010844",289,9,259,18,-,-,1,2
"S01010845",259,7,232,18,-,-,-,2
"S01010846",296,1,284,6,-,-,2,3
"S01010847",259,5,230,22,-,-,2,-
"S01010848",260,2,208,44,-,-,-,6
"S01010849",364,4,334,13,-,-,-,13
"S01010850",373,3,271,87,-,-,-,12
"S01010851",347,-,331,8,-,-,-,8
"S01010852",306,2,295,-,-,-,2,7
"S01010853",358,-,338,7,-,-,2,11
"S01010854",384,4,328,34,-,-,3,15
"S01010855",223,1,210,4,-,-,1,7
"S01010856",455,2,311,127,-,-,-,15
"S01010857",324,3,271,44,-,-,2,4
"S01010858",330,9,236,76,-,-,1,8
"S01010859",304,-,264,31,1,-,2,6
"S01010860",279,2,249,22,-,-,-,6
"S01010861",332,2,307,12,-,-,-,11
"S01010862",266,1,228,11,2,-,4,20
"S01010863",317,4,292,10,4,-,2,5
"S01010864",250,2,234,9,1,-,-,4
"S01010865",345,3,258,79,1,-,-,4
"S01010866",312,1,288,16,3,-,3,1
"S01010867",285,4,241,33,3,-,-,4
"S01010868",306,3,253,46,-,-,-,4
"S01010869",290,3,273,10,-,-,-,4
"S01010870",407,8,366,30,-,-,-,3
"S01010871",408,12,339,50,-,-,1,6
"S01010872",403,16,319,51,-,-,-,17
"S01010873",400,10,283,88,2,-,5,12
"S01010874",307,3,278,21,-,-,1,4
"S01010875",257,2,220,27,-,-,-,8
"S01010876",393,9,353,13,-,-,1,17
"S01010877",467,8,424,20,-,-,-,15
"S01010878",512,9,377,115,-,-,2,9
"S01010879",387,4,318,56,1,-,-,8
"S01010880",268,4,231,25,-,-,1,7
"S01010881",285,2,219,59,-,2,-,3
"S01010882",203,2,166,33,-,-,-,2
"S01010883",336,3,259,66,-,-,2,6
"S01010884",408,16,252,89,8,-,25,18
"S01010885",541,24,396,102,-,-,1,18
"S01010886",250,14,184,39,1,-,8,4
"S01010887",458,18,233,149,9,-,29,20
"S01010888",437,16,363,44,-,-,-,14
"S01010889",344,25,273,29,-,-,2,15
"S01010890",507,6,320,166,-,-,1,14
"S01010891",280,15,214,45,-,-,-,6
"S01010892",531,10,323,173,-,-,8,17
"S01010893",327,4,165,139,-,-,4,15
"S01010894",312,7,225,65,1,-,-,14
"S01010895",256,5,124,122,-,-,2,3
"S01010896",339,3,252,63,-,-,2,19
"S01010897",380,2,328,32,-,1,-,17
"S01010898",253,4,218,18,-,-,-,13
"S01010899",221,3,209,-,-,-,1,8
"S01010900",298,10,155,123,1,1,1,7
"S01010901",205,2,148,42,-,-,1,12
"S01010902",453,2,394,34,3,-,-,20
"S01010903",427,2,343,62,1,-,2,17
"S01010904",271,1,230,26,1,-,1,12
"S01010905",290,1,214,43,2,-,19,11
"S01010906",383,1,354,5,-,-,2,21
"S01010907",199,2,183,6,1,-,-,7
"S01010908",274,5,244,21,-,-,-,4
"S01010909",284,6,252,22,-,-,1,3
"S01010910",273,21,192,45,-,-,4,11
"S01010911",360,11,114,228,-,-,1,6
"S01010912",392,7,166,212,-,-,-,7
"S01010913",293,15,231,41,-,-,1,5
"S01010914",255,4,225,17,1,-,-,8
"S01010915",271,3,246,16,1,-,2,3
"S01010916",333,58,179,83,-,1,4,8
"S01010917",369,30,228,101,-,-,4,6
"S01010918",334,2,283,38,-,1,2,8
"S01010919",335,2,253,70,-,-,1,9
"S01010920",254,2,174,65,-,-,1,12
"S01010921",257,-,237,12,-,-,-,8
"S01010922",346,5,288,30,1,-,4,18
"S01010923",398,11,156,224,1,-,3,3
"S01010924",260,10,93,146,6,-,3,2
"S01010925",386,5,333,29,1,-,2,16
"S01010926",352,2,328,9,-,-,2,11
"S01010927",251,2,236,4,-,-,1,8
"S01010928",311,7,204,95,-,-,1,4
"S01010929",271,7,173,86,-,1,-,4
"S01010930",357,8,140,17,122,19,31,20
"S01010931",203,7,25,28,85,30,5,23
"S01010932",277,3,252,8,2,4,2,6
"S01010933",276,2,225,10,25,5,5,4
"S01010934",424,3,389,24,2,-,-,6
"S01010935",323,2,297,14,1,-,3,6
"S01010936",404,7,314,71,-,1,5,6
"S01010937",323,1,317,3,-,-,-,2
"S01010938",369,4,340,9,2,9,2,3
"S01010939",199,2,188,2,-,-,-,7
"S01010940",268,2,254,6,2,-,-,4
"S01010941",323,-,311,3,3,1,-,5
"S01010942",268,1,263,1,1,1,-,1
"S01010943",244,2,226,8,2,1,-,5
"S01010944",295,1,274,11,-,3,-,6
"S01010945",222,-,207,5,1,4,-,5
"S01010946",344,3,319,10,-,10,-,2
"S01010947",242,2,217,15,1,2,-,5
"S01010948",288,-,251,26,1,3,3,4
"S01010949",344,3,329,6,6,-,-,-
"S01010950",380,8,342,24,1,1,-,4
"S01010951",258,2,229,21,-,4,-,2
"S01010952",199,3,184,9,1,-,-,2
"S01010953",225,2,208,9,-,4,-,2
"S01010954",206,-,200,2,-,1,-,3
"S01010955",345,1,299,11,11,-,3,20
"S01010956",304,14,162,13,78,11,13,13
"S01010957",231,2,222,2,3,-,-,2
"S01010958",224,4,213,2,1,2,1,1
"S01010959",290,11,236,29,1,2,-,11
"S01010960",441,3,396,10,7,12,2,11
"S01010961",246,1,220,13,3,8,1,-
"S01010962",314,21,54,13,193,16,10,7
"S01010963",395,6,343,4,32,1,3,6
"S01010964",216,-,209,1,2,2,-,2
"S01010965",230,-,220,4,-,3,-,3
"S01010966",309,-,280,19,-,7,-,3
"S01010967",309,3,284,10,-,5,2,5
"S01010968",316,2,283,24,1,2,-,4
"S01010969",264,-,243,11,1,-,2,7
"S01010970",428,4,398,8,4,4,-,10
"S01010971",401,3,380,6,7,2,1,2
"S01010972",333,-,294,21,1,2,3,12
"S01010973",205,2,174,28,-,-,1,-
"S01010974",298,2,268,8,-,9,1,10
"S01010975",195,3,180,4,1,5,2,-
"S01010976",211,2,199,3,-,3,1,3
"S01010977",312,2,292,9,-,1,2,6
"S01010978",354,2,334,7,-,4,2,5
"S01010979",324,2,308,6,-,1,1,6
"S01010980",348,4,318,14,1,3,5,3
"S01010981",330,1,317,6,-,-,1,5
"S01010982",447,-,392,15,23,1,3,13
"S01010983",388,-,362,9,-,6,2,9
"S01010984",300,1,290,5,-,3,-,1
"S01010985",244,1,150,8,4,2,71,8
"S01010986",179,2,176,1,-,-,-,-
"S01010987",219,-,217,-,-,-,-,2
"S01010988",205,-,201,3,-,-,1,-
"S01010989",357,1,342,5,-,1,1,7
"S01010990",319,1,301,3,2,4,4,4
"S01010991",198,3,159,7,13,6,5,5
"S01010992",184,-,180,1,-,1,-,2
"S01010993",252,-,243,1,5,-,1,2
"S01010994",390,2,376,5,-,1,1,5
"S01010995",290,-,281,4,1,-,2,2
"S01010996",235,-,223,7,1,-,-,4
"S01010997",290,1,283,5,-,-,-,1
"S01010998",216,1,206,3,-,2,-,4
"S01010999",412,2,366,24,1,1,7,11
"S01011000",345,10,210,38,51,12,16,8
"S01011001",273,1,266,2,-,-,-,4
"S01011002",314,1,292,5,-,11,1,4
"S01011003",280,1,253,10,1,6,1,8
"S01011004",249,-,236,6,2,1,-,4
"S01011005",337,2,315,7,1,4,1,7
"S01011006",422,4,388,5,12,4,2,7
"S01011007",280,-,268,2,3,4,1,2
"S01011008",332,1,314,8,2,1,1,5
"S01011009",222,-,208,4,1,4,-,5
"S01011010",335,3,235,84,-,-,-,13
"S01011011",435,7,373,39,1,2,4,9
"S01011012",313,1,295,1,2,2,1,11
"S01011013",375,2,349,5,-,11,1,7
"S01011014",364,1,338,18,-,1,-,6
"S01011015",200,-,185,10,-,4,1,-
"S01011016",311,2,287,7,5,1,1,8
"S01011017",352,7,62,43,187,26,16,11
"S01011018",366,12,32,122,101,83,7,9
"S01011019",408,8,181,45,135,19,9,11
"S01011020",202,8,69,16,69,16,12,12
"S01011021",351,1,336,5,-,8,-,1
"S01011022",233,1,219,5,1,2,-,5
"S01011023",350,1,334,5,-,6,-,4
"S01011024",302,3,280,1,-,6,-,12
"S01011025",276,2,260,-,1,6,-,7
"S01011026",235,-,224,-,-,5,-,6
"S01011027",418,4,366,34,-,9,1,4
"S01011028",425,-,411,5,1,2,3,3
"S01011029",264,4,238,15,-,2,-,5
"S01011030",369,4,338,21,2,1,-,3
"S01011031",320,-,298,7,1,8,-,6
"S01011032",353,1,310,21,1,5,1,14
"S01011033",275,-,266,3,-,1,-,5
"S01011034",331,-,313,7,-,-,3,8
"S01011035",252,-,241,2,-,4,-,5
"S01011036",285,3,260,19,-,1,1,1
"S01011037",409,3,371,14,2,7,-,12
"S01011038",337,1,319,9,-,4,2,2
"S01011039",392,2,265,116,1,1,-,7
"S01011040",285,4,265,3,2,4,1,6
"S01011041",292,1,277,3,1,2,2,6
"S01011042",333,1,308,7,2,4,1,10
"S01011043",310,2,283,7,-,8,-,10
"S01011044",307,3,285,2,3,2,-,12
"S01011045",369,15,27,71,191,30,4,31
"S01011046",362,17,21,26,226,34,4,34
"S01011047",396,7,114,33,188,11,11,32
"S01011048",440,5,327,54,30,8,-,16
"S01011049",322,1,273,18,12,8,1,9
"S01011050",323,7,14,40,218,17,9,18
"S01011051",428,5,228,53,94,12,5,31
"S01011052",366,9,264,46,30,4,-,13
"S01011053",295,5,129,107,21,9,16,8
"S01011054",244,4,146,30,43,4,2,15
"S01011055",228,6,33,21,115,25,5,23
"S01011056",271,18,37,19,132,34,7,24
"S01011057",238,8,144,20,41,14,2,9
"S01011058",251,12,8,16,162,24,3,26
"S01011059",248,15,27,33,132,23,6,12
"S01011060",402,4,337,35,13,2,2,9
"S01011061",404,3,322,59,5,3,-,12
"S01011062",423,9,343,52,6,-,3,10
"S01011063",472,4,395,50,10,2,1,10
"S01011064",480,5,407,45,12,3,1,7
"S01011065",289,6,155,21,75,16,3,13
"S01011066",231,2,207,12,4,1,-,5
"S01011067",284,3,216,49,4,2,1,9
"S01011068",238,3,212,12,4,5,-,2
"S01011069",251,1,228,8,8,-,1,5
"S01011070",274,6,245,13,4,1,-,5
"S01011071",357,6,293,16,28,2,1,11
"S01011072",407,4,225,67,70,17,8,16
"S01011073",286,2,218,26,25,4,2,9
"S01011074",280,3,248,10,6,3,1,9
"S01011075",322,1,290,16,1,4,-,10
"S01011076",348,10,300,17,8,2,-,11
"S01011077",337,3,278,38,5,4,1,8
"S01011078",466,4,366,40,44,1,3,8
"S01011079",488,6,427,31,7,3,3,11
"S01011080",461,5,403,41,3,2,1,6
"S01011081",352,6,273,52,4,5,1,11
"S01011082",269,-,245,12,1,1,1,9
"S01011083",347,5,287,24,13,7,-,11
"S01011084",330,11,68,26,183,10,4,28
"S01011085",383,12,25,68,216,15,6,41
"S01011086",273,7,166,16,55,6,1,22
"S01011087",262,2,217,30,4,1,-,8
"S01011088",453,3,357,37,39,3,1,13
"S01011089",310,4,234,33,23,4,-,12
"S01011090",304,9,59,27,171,15,2,21
"S01011091",260,10,45,17,148,15,11,14
"S01011092",181,1,108,27,22,3,10,10
"S01011093",239,7,62,18,131,4,3,14
"S01011094",196,6,79,8,83,1,3,16
"S01011095",318,11,48,25,185,10,5,34
"S01011096",223,4,117,10,70,6,5,11
"S01011097",284,9,22,31,170,16,7,29
"S01011098",346,9,285,30,17,1,-,4
"S01011099",358,2,247,80,10,3,2,14
"S01011100",210,1,161,24,6,9,-,9
"S01011101",247,2,207,33,1,-,1,3
"S01011102",330,8,266,33,2,7,-,14
"S01011103",312,5,257,33,2,1,-,14
"S01011104",294,1,261,20,5,1,1,5
"S01011105",405,1,317,59,6,1,3,18
"S01011106",352,3,293,34,10,-,1,11
"S01011107",324,-,291,21,-,-,7,5
"S01011108",216,-,204,2,1,1,3,5
"S01011109",389,4,356,16,1,-,2,10
"S01011110",314,1,294,13,2,1,-,3
"S01011111",407,2,340,42,3,3,1,16
"S01011112",328,-,309,5,3,-,-,11
"S01011113",446,5,390,34,4,3,-,10
"S01011114",296,-,277,8,3,2,2,4
"S01011115",411,2,281,113,2,1,-,12
"S01011116",269,-,254,9,-,1,-,5
"S01011117",359,10,273,59,7,-,-,10
"S01011118",399,1,326,50,12,-,-,10
"S01011119",422,7,366,21,24,-,1,3
"S01011120",293,-,254,16,20,-,1,2
"S01011121",313,9,210,82,1,-,1,10
"S01011122",302,3,256,27,4,5,-,7
"S01011123",490,8,413,48,4,3,-,14
"S01011124",277,1,246,18,-,4,-,8
"S01011125",220,-,205,6,1,-,-,8
"S01011126",184,1,157,14,3,1,1,7
"S01011127",153,-,143,2,2,-,-,6
"S01011128",341,1,295,36,2,-,-,7
"S01011129",356,1,335,5,7,1,2,5
"S01011130",296,4,248,20,4,6,-,14
"S01011131",318,5,262,34,7,-,2,8
"S01011132",374,9,313,28,22,-,-,2
"S01011133",190,2,147,21,10,3,-,7
"S01011134",401,4,272,91,17,6,3,8
"S01011135",337,7,253,58,12,3,-,4
"S01011136",284,3,184,71,14,4,-,8
"S01011137",186,3,125,34,10,1,9,4
"S01011138",254,5,191,37,3,3,8,7
"S01011139",281,8,204,57,7,-,-,5
"S01011140",232,1,203,10,1,3,1,13
"S01011141",230,1,207,13,1,-,2,6
"S01011142",334,7,49,53,192,6,3,24
"S01011143",398,10,17,79,275,8,1,8
"S01011144",303,5,10,93,171,8,5,11
"S01011145",267,7,12,47,173,9,8,11
"S01011146",306,-,9,119,146,23,6,3
"S01011147",450,18,15,124,239,30,2,22
"S01011148",329,14,50,44,157,33,9,22
"S01011149",265,11,131,16,64,15,12,16
"S01011150",175,1,160,2,3,-,1,8
"S01011151",218,14,144,21,18,4,1,16
"S01011152",341,21,35,121,125,18,1,20
"S01011153",455,11,258,124,50,4,3,5
"S01011154",348,11,262,66,2,1,2,4
"S01011155",348,5,272,45,8,4,1,13
"S01011156",249,4,194,44,4,-,-,3
"S01011157",284,1,234,41,3,2,-,3
"S01011158",233,3,186,16,17,2,-,9
"S01011159",300,4,247,25,4,5,-,15
"S01011160",393,2,289,73,14,3,-,12
"S01011161",269,4,199,58,6,-,1,1
"S01011162",187,-,146,26,11,-,1,3
"S01011163",352,4,298,39,-,4,-,7
"S01011164",282,1,210,48,6,-,15,2
"S01011165",356,5,285,42,3,4,-,17
"S01011166",229,2,204,10,5,2,-,6
"S01011167",279,14,56,23,137,22,8,19
"S01011168",355,22,31,26,203,28,12,33
"S01011169",346,4,292,5,35,1,1,8
"S01011170",400,16,41,43,228,34,14,24
"S01011171",409,44,29,178,105,16,4,33
"S01011172",339,30,26,139,115,9,5,15
"S01011173",224,15,19,84,84,9,1,12
"S01011174",219,24,12,92,61,7,-,23
"S01011175",259,13,13,151,58,8,3,13
"S01011176",274,16,19,109,104,9,2,15
"S01011177",402,22,31,207,104,10,4,24
"S01011178",206,2,190,4,8,-,2,-
"S01011179",272,2,259,7,-,1,-,3
"S01011180",301,1,283,8,2,-,2,5
"S01011181",198,9,85,14,62,4,18,6
"S01011182",166,6,77,7,63,4,5,4
"S01011183",226,1,200,9,7,-,5,4
